job_name,company_name,job_descreption,skills,job_bosted
Java Developer,"HR Empower Consultancy
     (More Jobs)","Job Description:  Java Developer Job DescriptionContribute to all stages of software development lifecycleDesign, implement and maintain Java-based applications that can be high-volume and low-. ","Core Java , Html , CSS , java script , Xml , JavaServer pages , frameworks  , Spark",Posted today
Software Engineer,virtual engineering services pvt. ltd.,Job Description:  Job Description:We are looking for skilled and passionate software developers to help with the development of our current and upcoming desktop and cloud based products. He/she. ,"c   , css , java , debugging , software engineer , html , c# , problem solving , javascript , exceptions , web technologies , .net , forms",Posted today
.NET Developer,virtual engineering services pvt. ltd.,"Job Description:  Job Description:The Opportunity, as a .NET Developer, you'll be at the heart of our company - The Engineering Team. You will be the brain behind crafting, developing, testing,. ","css , html5 , vb.net , devops , html , c# , .net developer , javascript , visual studio , linq , .net , windows communication foundation , ado.net , microsoft .net , oops , mvc , rest , entity framework",Posted today
Software Quality Assurance LEAD,virtual engineering services pvt. ltd.,"Job Description:  Job Description:Virtual Engineering Services Pvt. Ltd. the exclusive development center for VEST, Inc. USA seeks talented Software Quality Engineer who will be a critical part. ","defect tracking , testing , software testing tools , agile , regression testing , test cases , manual testing , software quality , software quality engineer , software quality assurance , written communication , quality testing",Posted today
Software Quality Assurance Manager,virtual engineering services pvt. ltd.,"Job Description:  Job Description:Virtual Engineering Services Pvt. Ltd., the exclusive development center for VEST, Inc. USA seeks a hands-on Quality Assurance Manager responsible for those ac. ","test automation , test management , qa , software testing , automation testing , testing , metrics , sdlc , manual testing , software quality , software quality assurance , qa manager , written communication",Posted today
Software Engineer (Full Stack Developer),virtual engineering services pvt. ltd.,Job Description:  VEST seeks a motivated Full Stack developer for the Software development group. The role expects the candidate to work on one or more of the VEST products depending upon candi. ,"fundamentals , algorithms , sql , software engineer , data structures , c# , problem solving , windows , .net",Posted today
UX Designer,virtual engineering services pvt. ltd.,"Job Description:  The Opportunity, as a UX Designer, you will be working with the Engineering Team to craft, develop and create satisfying or compelling user experiences. Often drawing on resul. ","ux designer , 3d , user research , information architecture , ux , user experience , prototype , designing , cs , visual design , wireframes",Posted today
Icon Designer,virtual engineering services pvt. ltd.,Job Description:  We design and build engineering design software for the Hydraulics industry. We have several desktop and SaaS software that regularly need icons. We are looking for a freelanc. ,"graphics , 3d , photoshop , designer , illustrator",Posted today
Technical Writer,virtual engineering services pvt. ltd.,"Job Description:  Job Description:We are looking for a talented Technical Writer to research, outline, write, and edit new and existing technical contents of our products. In this role, you wil. ","storage , database , technical writing , user documentation , technical writer , technical documentation",Posted today
Industrial Internet of Things,v support solutions,"Job Description:  Job Title: Industrial Internet of ThingsJob Responsibilities:Architect in the Internet of Things space who has designed complex IoT solutions like AWS,The candidate will be re. ","team player , mqtt , management systems , api",Posted today
Sr. Business Analyst,smartSense Consulting Solutions,"Job Description:  Sr. Business Analyst smartSense solutions is looking for a versatile and experienced business analyst, we are looking for someone who is having in depth understanding of requi. ","business requirements , requirement elicitation , business analyst , requirement gathering , documenting requirements",Posted today
